Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-6135,User unable to change expired password remotely,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,Medium,Low,2025-03-07T04:23:33.000000,2025-03-07T09:23:33.000000,2025-03-07T22:23:33.000000,0,2,Friday,1,5.0,13.0,18.0,1,2025-10
CR-6136,Barcode scanner not transmitting data to system,Network,Loki,Loki,Avengers,Service B,Closed,High,Critical,High,High,2025-03-07T10:07:27.000000,2025-03-07T18:07:27.000000,2025-03-08T05:07:27.000000,1,4,Friday,0,8.0,11.0,19.0,1,2025-10
CR-6137,User home drive not mapping at login,Failure,Neo,Neo,Matrix,Service B,Closed,High,Low,Low,Low,2025-03-07T03:25:41.000000,2025-03-07T08:25:41.000000,2025-03-08T17:25:41.000000,1,1,Friday,0,5.0,33.0,38.0,0,2025-10
CR-6138,Unexpected application log errors after deployment,Failure,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-07T12:38:23.000000,2025-03-07T17:38:23.000000,2025-03-07T20:38:23.000000,0,4,Friday,1,5.0,3.0,8.0,0,2025-10
CR-6139,File restore from backup failed for requested folder,Network,Batman,Batman,Matrix,Service A,Closed,Medium,Critical,High,High,2025-03-07T17:25:37.000000,2025-03-08T00:25:37.000000,2025-03-08T02:25:37.000000,1,5,Friday,0,7.0,2.0,9.0,0,2025-10
CR-6140,User unable to access HR portal,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-03-07T06:07:40.000000,2025-03-07T13:07:40.000000,2025-03-08T00:07:40.000000,0,3,Friday,1,7.0,11.0,18.0,1,2025-10
CR-6141,SSL certificate error when accessing internal site,Facilities,Loki,Loki,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-07T10:33:06.000000,2025-03-07T18:33:06.000000,2025-03-08T16:33:06.000000,0,1,Friday,1,8.0,22.0,30.0,0,2025-10
CR-6142,Shared network drive not accessible,Failure,Shang Chi,Shang Chi,Avengers II,Service A,New,Low,Critical,High,High,2025-03-07T03:09:20.000000,,,0,3,Friday,1,,,,0,2025-10
CR-6143,Delayed message delivery in internal chat system,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Medium,Low,Medium,2025-03-07T15:25:29.000000,2025-03-07T21:25:29.000000,2025-03-08T09:25:29.000000,0,2,Friday,1,6.0,12.0,18.0,0,2025-10
CR-6144,Printer not printing documents from any workstation,Data,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-07T04:26:48.000000,2025-03-07T08:26:48.000000,2025-03-07T20:26:48.000000,0,4,Friday,1,4.0,12.0,16.0,1,2025-10
CR-6145,Unexpected application log errors after deployment,Hardware,Neo,Neo,Matrix,Service C,Closed,High,Low,Low,Low,2025-03-07T19:46:36.000000,2025-03-08T00:46:36.000000,2025-03-09T20:46:36.000000,0,0,Friday,1,5.0,44.0,49.0,0,2025-10
CR-6146,Newly created user not syncing to all systems,Hardware,Hulk,Hulk,Avengers,Service B,Closed,High,High,High,High,2025-03-07T02:22:30.000000,2025-03-07T10:22:30.000000,2025-03-07T21:22:30.000000,0,3,Friday,1,8.0,11.0,19.0,1,2025-10
CR-6147,User unable to log in to corporate VPN,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,High,High,Medium,2025-03-07T09:41:08.000000,2025-03-07T13:41:08.000000,2025-03-08T11:41:08.000000,0,2,Friday,1,4.0,22.0,26.0,1,2025-10
CR-6148,Intermittent connectivity issues to file server,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-03-07T02:10:13.000000,2025-03-07T05:10:13.000000,2025-03-09T18:10:13.000000,0,1,Friday,1,3.0,61.0,64.0,1,2025-10
CR-6149,User account locked after multiple failed login attempts,Facilities,Iron Man,Iron Man,Avengers,Service C,In Progress,Medium,Critical,High,High,2025-03-07T12:51:29.000000,2025-03-07T16:51:29.000000,,0,4,Friday,1,4.0,,,0,2025-10
CR-6150,Incorrect data displayed in reporting dashboard,Failure,Thor,Thor,Avengers,Service B,On Hold,High,Medium,Low,Low,2025-03-07T14:12:57.000000,,,0,2,Friday,1,,,,0,2025-10
CR-6151,SSL certificate error when accessing internal site,Complaint,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,High,High,2025-03-07T12:29:50.000000,2025-03-07T16:29:50.000000,2025-03-08T08:29:50.000000,0,3,Friday,1,4.0,16.0,20.0,1,2025-10
CR-6152,Queue processing stuck in payment application,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Low,Low,Low,2025-03-07T06:26:49.000000,2025-03-07T10:26:49.000000,2025-03-08T20:26:49.000000,0,0,Friday,1,4.0,34.0,38.0,0,2025-10
CR-6153,Database connection error in production application,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-03-07T02:00:22.000000,2025-03-07T09:00:22.000000,2025-03-07T10:00:22.000000,1,5,Friday,0,7.0,1.0,8.0,0,2025-10
CR-6154,Intermittent connectivity issues to file server,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Low,Low,Low,2025-03-07T20:52:42.000000,2025-03-08T01:52:42.000000,2025-03-09T06:52:42.000000,0,0,Friday,1,5.0,29.0,34.0,0,2025-10
CR-6155,Newly created user not syncing to all systems,Software,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,High,Critical,High,High,2025-03-07T02:16:08.000000,,,1,3,Friday,0,,,,0,2025-10
CR-6156,User unable to log in to corporate VPN,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-03-07T07:34:04.000000,2025-03-07T13:34:04.000000,2025-03-08T22:34:04.000000,0,1,Friday,1,6.0,33.0,39.0,1,2025-10
CR-6157,Incorrect language settings applied to user interface,Software,Captain America,Captain America,Avengers,Service A,Closed,Low,High,Medium,High,2025-03-07T19:06:54.000000,2025-03-08T00:06:54.000000,2025-03-08T21:06:54.000000,0,3,Friday,1,5.0,21.0,26.0,1,2025-10
CR-6158,User account locked after multiple failed login attempts,Software,John Cena,John Cena,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-07T21:38:04.000000,2025-03-07T23:38:04.000000,2025-03-09T00:38:04.000000,1,1,Friday,0,2.0,25.0,27.0,1,2025-10
CR-6159,User not receiving password reset email,Complaint,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-03-08T08:06:29.000000,2025-03-08T13:06:29.000000,2025-03-09T01:06:29.000000,0,4,Saturday,1,5.0,12.0,17.0,1,2025-10
CR-6160,Incorrect user mapping in identity provider,Access,Thor,Thor,Avengers,Service A,Closed,High,Medium,Medium,Low,2025-03-08T19:27:44.000000,2025-03-09T01:27:44.000000,2025-03-09T17:27:44.000000,0,1,Saturday,1,6.0,16.0,22.0,0,2025-10
CR-6161,Queue processing stuck in payment application,Hardware,John Cena,John Cena,Matrix,Service C,Closed,Low,High,Medium,High,2025-03-08T15:59:24.000000,2025-03-08T18:59:24.000000,2025-03-09T00:59:24.000000,1,3,Saturday,0,3.0,6.0,9.0,0,2025-10
CR-6162,Delayed message delivery in internal chat system,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,Medium,Medium,2025-03-08T12:27:52.000000,2025-03-08T17:27:52.000000,2025-03-09T01:27:52.000000,0,2,Saturday,1,5.0,8.0,13.0,0,2025-10
CR-6163,Shared network drive not accessible,Software,Captain Marvel,Captain Marvel,Avengers II,Service C,New,Medium,High,High,Medium,2025-03-08T08:09:32.000000,,,0,2,Saturday,1,,,,0,2025-10
CR-6164,Single user laptop not connecting to Wi-Fi,Network,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,Medium,High,2025-03-08T07:08:26.000000,2025-03-08T14:08:26.000000,2025-03-09T01:08:26.000000,0,4,Saturday,1,7.0,11.0,18.0,1,2025-10
CR-6165,Broken link on intranet home page,Facilities,Captain America,Captain America,Avengers,Service B,On Hold,Medium,High,High,High,2025-03-08T21:05:42.000000,,,0,3,Saturday,1,,,,0,2025-10
CR-6166,Application not launching after latest OS update,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,High,High,2025-03-08T06:35:56.000000,2025-03-08T10:35:56.000000,2025-03-09T09:35:56.000000,0,2,Saturday,1,4.0,23.0,27.0,1,2025-10
CR-6167,Antivirus alert triggered on user workstation,Network,Loki,Loki,Avengers,Service A,Closed,High,Critical,High,High,2025-03-08T05:26:43.000000,2025-03-08T09:26:43.000000,2025-03-08T16:26:43.000000,0,3,Saturday,1,4.0,7.0,11.0,1,2025-10
CR-6168,Data export from system failing with error,Software,Captain America,Captain America,Avengers,Service B,In Progress,Low,Low,Low,Low,2025-03-08T15:37:42.000000,2025-03-08T21:37:42.000000,,0,1,Saturday,1,6.0,,,0,2025-10
CR-6169,Application crash when user attempts specific function,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-03-08T00:26:12.000000,2025-03-08T07:26:12.000000,2025-03-09T19:26:12.000000,1,1,Saturday,0,7.0,36.0,43.0,1,2025-10
CR-6170,SSL certificate error when accessing internal site,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Medium,Low,2025-03-08T22:40:46.000000,2025-03-09T01:40:46.000000,2025-03-09T18:40:46.000000,0,1,Saturday,1,3.0,17.0,20.0,0,2025-10
CR-6171,Error 500 returned by internal web application,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-08T18:02:45.000000,2025-03-08T21:02:45.000000,2025-03-10T01:02:45.000000,1,2,Saturday,0,3.0,28.0,31.0,1,2025-10
CR-6172,Application crash when user attempts specific function,Access,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Low,2025-03-08T09:18:44.000000,2025-03-08T13:18:44.000000,2025-03-09T11:18:44.000000,0,2,Saturday,1,4.0,22.0,26.0,0,2025-10
CR-6173,Endpoint not checking in with management server,Access,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-03-08T12:55:13.000000,2025-03-08T20:55:13.000000,2025-03-09T12:55:13.000000,0,1,Saturday,1,8.0,16.0,24.0,0,2025-10
CR-6174,User not receiving password reset email,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,High,Medium,2025-03-08T03:16:20.000000,2025-03-08T07:16:20.000000,2025-03-08T14:16:20.000000,0,5,Saturday,1,4.0,7.0,11.0,1,2025-10
CR-6175,User unable to open encrypted email,Data,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-03-08T21:59:37.000000,2025-03-08T23:59:37.000000,2025-03-09T07:59:37.000000,0,3,Saturday,1,2.0,8.0,10.0,0,2025-10
CR-6176,Network printer not visible in device list,Complaint,Loki,Loki,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-08T00:38:46.000000,2025-03-08T06:38:46.000000,2025-03-09T06:38:46.000000,1,2,Saturday,0,6.0,24.0,30.0,0,2025-10
CR-6177,Database connection error in production application,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,High,2025-03-08T05:46:13.000000,2025-03-08T08:46:13.000000,2025-03-08T10:46:13.000000,0,4,Saturday,1,3.0,2.0,5.0,0,2025-10
CR-6178,Queue processing stuck in payment application,Hardware,Batman,Batman,Matrix,Service A,Closed,Low,Low,Low,Low,2025-03-08T04:38:31.000000,2025-03-08T11:38:31.000000,2025-03-09T14:38:31.000000,1,0,Saturday,0,7.0,27.0,34.0,0,2025-10
CR-6179,Endpoint not checking in with management server,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,High,High,2025-03-08T19:56:25.000000,2025-03-09T01:56:25.000000,2025-03-09T23:56:25.000000,0,3,Saturday,1,6.0,22.0,28.0,1,2025-10
CR-6180,Printing jobs stuck in queue without error message,Network,John Cena,John Cena,Matrix,Service A,Closed,High,High,Medium,High,2025-03-08T09:52:09.000000,2025-03-08T15:52:09.000000,2025-03-09T05:52:09.000000,0,3,Saturday,1,6.0,14.0,20.0,1,2025-10
CR-6181,User’s mailbox not receiving external emails,Complaint,Captain America,Captain America,Avengers,Service A,New,Low,Critical,High,High,2025-03-08T03:39:08.000000,,,1,5,Saturday,0,,,,0,2025-10
CR-6182,Endpoint not checking in with management server,Data,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-03-08T12:13:13.000000,2025-03-08T15:13:13.000000,2025-03-09T22:13:13.000000,1,2,Saturday,0,3.0,31.0,34.0,1,2025-10
CR-6183,Printing jobs stuck in queue without error message,Network,Hulk,Hulk,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-03-08T18:05:31.000000,2025-03-09T02:05:31.000000,2025-03-10T05:05:31.000000,1,1,Saturday,0,8.0,27.0,35.0,1,2025-10
CR-6184,Delayed message delivery in internal chat system,Facilities,Batman,Batman,Matrix,Service C,New,Low,Low,Low,Low,2025-03-08T21:20:48.000000,,,0,1,Saturday,1,,,,0,2025-10
CR-6185,Delayed message delivery in internal chat system,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,In Progress,Medium,High,High,Medium,2025-03-08T20:42:38.000000,2025-03-09T02:42:38.000000,,0,3,Saturday,1,6.0,,,0,2025-10
CR-6186,User account locked after multiple failed login attempts,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-03-08T15:18:58.000000,2025-03-08T23:18:58.000000,2025-03-10T06:18:58.000000,0,1,Saturday,1,8.0,31.0,39.0,1,2025-10
CR-6187,Email client not connecting to mail server,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,High,High,High,2025-03-08T01:54:37.000000,2025-03-08T04:54:37.000000,2025-03-08T16:54:37.000000,0,2,Saturday,1,3.0,12.0,15.0,1,2025-10
CR-6188,Error while uploading documents to intranet portal,Failure,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-03-08T19:32:43.000000,2025-03-09T03:32:43.000000,2025-03-09T07:32:43.000000,0,5,Saturday,1,8.0,4.0,12.0,0,2025-10
CR-6189,Queue processing stuck in payment application,Failure,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,High,2025-03-08T18:56:08.000000,2025-03-08T22:56:08.000000,2025-03-09T21:56:08.000000,0,2,Saturday,1,4.0,23.0,27.0,1,2025-10
CR-6190,Incorrect display of currency values in front-end,Software,John Cena,John Cena,Matrix,Service C,Closed,High,High,Medium,High,2025-03-08T11:52:00.000000,2025-03-08T14:52:00.000000,2025-03-09T14:52:00.000000,0,2,Saturday,1,3.0,24.0,27.0,1,2025-10
CR-6191,Time synchronization issue causing authentication failures,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,High,Medium,2025-03-08T05:21:41.000000,2025-03-08T12:21:41.000000,2025-03-08T21:21:41.000000,0,2,Saturday,1,7.0,9.0,16.0,1,2025-10
CR-6192,Incorrect permissions on shared folder causing access denied,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Low,2025-03-08T10:19:15.000000,2025-03-08T13:19:15.000000,2025-03-09T09:19:15.000000,1,2,Saturday,0,3.0,20.0,23.0,0,2025-10
CR-6193,Error while uploading documents to intranet portal,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-03-08T17:28:06.000000,2025-03-09T00:28:06.000000,2025-03-10T03:28:06.000000,0,1,Saturday,1,7.0,27.0,34.0,1,2025-10
CR-6194,Multi-factor authentication code not delivered to user,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,Medium,High,2025-03-08T01:21:45.000000,2025-03-08T04:21:45.000000,2025-03-08T15:21:45.000000,0,3,Saturday,1,3.0,11.0,14.0,1,2025-10
CR-6195,Incorrect language settings applied to user interface,Data,Shang Chi,Shang Chi,Avengers II,Service B,On Hold,Medium,Medium,Low,Medium,2025-03-08T05:10:55.000000,,,0,2,Saturday,1,,,,0,2025-10
CR-6196,User unable to log in to corporate VPN,Software,Neo,Neo,Matrix,Service C,Closed,Low,High,Medium,High,2025-03-08T08:56:02.000000,2025-03-08T13:56:02.000000,2025-03-08T21:56:02.000000,0,2,Saturday,1,5.0,8.0,13.0,0,2025-10
CR-6197,Frequent disconnections from remote desktop session,Hardware,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-03-08T10:27:48.000000,2025-03-08T14:27:48.000000,2025-03-08T22:27:48.000000,0,5,Saturday,1,4.0,8.0,12.0,1,2025-10
CR-6198,User home drive not mapping at login,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-03-08T22:22:50.000000,2025-03-09T01:22:50.000000,2025-03-10T00:22:50.000000,0,2,Saturday,1,3.0,23.0,26.0,1,2025-10
CR-6199,User unable to log in to corporate VPN,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,High,High,High,2025-03-08T02:43:13.000000,2025-03-08T10:43:13.000000,2025-03-08T16:43:13.000000,0,2,Saturday,1,8.0,6.0,14.0,0,2025-10
CR-6200,Antivirus alert triggered on user workstation,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-03-08T02:12:35.000000,2025-03-08T08:12:35.000000,2025-03-09T04:12:35.000000,0,1,Saturday,1,6.0,20.0,26.0,0,2025-10
CR-6201,Duplicate records appearing in customer database,Complaint,Batman,Batman,Matrix,Service B,Closed,High,Low,Low,Low,2025-03-09T07:41:43.000000,2025-03-09T12:41:43.000000,2025-03-12T06:41:43.000000,0,1,Sunday,1,5.0,66.0,71.0,1,2025-10
CR-6202,Printing jobs stuck in queue without error message,Hardware,John Cena,John Cena,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-03-09T18:29:47.000000,2025-03-10T00:29:47.000000,2025-03-10T15:29:47.000000,0,1,Sunday,1,6.0,15.0,21.0,0,2025-10
CR-6203,Single sign-on not working for cloud application,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-03-09T04:49:45.000000,2025-03-09T10:49:45.000000,2025-03-10T15:49:45.000000,0,2,Sunday,1,6.0,29.0,35.0,1,2025-10
CR-6204,Incorrect display of currency values in front-end,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Low,Low,Low,2025-03-09T12:39:48.000000,2025-03-09T18:39:48.000000,2025-03-12T15:39:48.000000,0,1,Sunday,1,6.0,69.0,75.0,1,2025-10
CR-6205,Barcode scanner not transmitting data to system,Software,John Wick,John Wick,Matrix,Service C,Closed,High,Low,Low,Low,2025-03-09T22:36:19.000000,2025-03-10T06:36:19.000000,2025-03-13T02:36:19.000000,0,0,Sunday,1,8.0,68.0,76.0,1,2025-10
CR-6206,Data export from system failing with error,Data,Loki,Loki,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-03-09T13:01:03.000000,2025-03-09T20:01:03.000000,2025-03-11T01:01:03.000000,0,0,Sunday,1,7.0,29.0,36.0,0,2025-10
CR-6207,Old password still granting access to system,Data,Thor,Thor,Avengers,Service C,Closed,High,High,High,High,2025-03-09T12:15:25.000000,2025-03-09T18:15:25.000000,2025-03-10T04:15:25.000000,0,2,Sunday,1,6.0,10.0,16.0,1,2025-10
CR-6208,Unexpected reboot of application server,Facilities,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-03-09T12:27:27.000000,2025-03-09T15:27:27.000000,2025-03-09T22:27:27.000000,0,3,Sunday,1,3.0,7.0,10.0,1,2025-10
CR-6209,Endpoint not checking in with management server,Failure,John Cena,John Cena,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-03-09T10:00:05.000000,2025-03-09T17:00:05.000000,2025-03-10T09:00:05.000000,0,2,Sunday,1,7.0,16.0,23.0,0,2025-10
CR-6210,User home drive not mapping at login,Hardware,John Wick,John Wick,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-03-09T15:22:07.000000,2025-03-09T22:22:07.000000,2025-03-10T21:22:07.000000,1,2,Sunday,0,7.0,23.0,30.0,0,2025-10
CR-6211,Incorrect user mapping in identity provider,Network,Captain America,Captain America,Avengers,Service C,On Hold,Medium,Critical,High,High,2025-03-09T06:52:40.000000,,,0,3,Sunday,1,,,,0,2025-10
CR-6212,User unable to change expired password remotely,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-03-09T02:49:36.000000,2025-03-09T09:49:36.000000,2025-03-09T10:49:36.000000,0,3,Sunday,1,7.0,1.0,8.0,0,2025-10
CR-6213,Barcode scanner not transmitting data to system,Hardware,Thor,Thor,Avengers,Service C,Closed,Low,High,High,Medium,2025-03-09T03:33:13.000000,2025-03-09T09:33:13.000000,2025-03-09T16:33:13.000000,0,3,Sunday,1,6.0,7.0,13.0,0,2025-10
CR-6214,Broken link on intranet home page,Software,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-03-09T02:43:01.000000,2025-03-09T10:43:01.000000,2025-03-09T12:43:01.000000,1,5,Sunday,0,8.0,2.0,10.0,0,2025-10
CR-6215,Endpoint disk space critically low warning,Failure,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-03-09T03:39:07.000000,2025-03-09T10:39:07.000000,2025-03-09T22:39:07.000000,0,4,Sunday,1,7.0,12.0,19.0,1,2025-10
CR-6216,Delayed message delivery in internal chat system,Facilities,Thor,Thor,Avengers,Service B,Closed,Low,Medium,Low,Medium,2025-03-09T04:11:10.000000,2025-03-09T07:11:10.000000,2025-03-09T21:11:10.000000,0,2,Sunday,1,3.0,14.0,17.0,0,2025-10
CR-6217,Access badge system not updating from central database,Failure,Doctor Strange,Doctor Strange,Avengers II,Service A,New,High,Medium,Medium,Medium,2025-03-09T00:26:40.000000,,,0,2,Sunday,1,,,,0,2025-10
CR-6218,User unable to log in to corporate VPN,Complaint,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-03-09T23:14:16.000000,2025-03-10T04:14:16.000000,2025-03-11T02:14:16.000000,0,2,Sunday,1,5.0,22.0,27.0,0,2025-10
CR-6219,Time-out errors when accessing CRM system,Data,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,High,2025-03-09T04:11:04.000000,2025-03-09T10:11:04.000000,2025-03-10T07:11:04.000000,0,2,Sunday,1,6.0,21.0,27.0,1,2025-10
CR-6220,Application response time extremely slow for multiple users,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-03-09T18:37:29.000000,2025-03-10T00:37:29.000000,2025-03-11T11:37:29.000000,0,1,Sunday,1,6.0,35.0,41.0,1,2025-10
CR-6221,Time synchronization issue causing authentication failures,Software,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-03-09T20:43:04.000000,2025-03-10T00:43:04.000000,2025-03-10T01:43:04.000000,0,4,Sunday,1,4.0,1.0,5.0,0,2025-10
CR-6222,Corrupt file detected in document management system,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,High,High,High,2025-03-10T11:38:23.000000,2025-03-10T19:38:23.000000,2025-03-11T18:38:23.000000,0,2,Monday,1,8.0,23.0,31.0,1,2025-11
CR-6223,User not receiving password reset email,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-03-10T01:42:27.000000,2025-03-10T03:42:27.000000,2025-03-11T08:42:27.000000,0,2,Monday,1,2.0,29.0,31.0,1,2025-11
CR-6224,Incorrect user mapping in identity provider,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,New,Medium,Medium,Low,Medium,2025-03-10T20:48:43.000000,,,0,2,Monday,1,,,,0,2025-11
CR-6225,Incorrect group membership causing access escalation,Network,Loki,Loki,Avengers,Service C,Closed,High,High,High,Low,2025-03-10T22:43:58.000000,2025-03-11T05:43:58.000000,2025-03-11T14:43:58.000000,1,2,Monday,0,7.0,9.0,16.0,1,2025-11
CR-6226,User profile not loading correctly after login,Facilities,Spiderman,Spiderman,Avengers II,Service C,In Progress,High,Medium,Medium,Medium,2025-03-10T04:35:43.000000,2025-03-10T09:35:43.000000,,1,1,Monday,0,5.0,,,0,2025-11
CR-6227,Broken link on intranet home page,Facilities,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,High,High,High,2025-03-10T22:40:28.000000,2025-03-11T04:40:28.000000,2025-03-11T22:40:28.000000,0,2,Monday,1,6.0,18.0,24.0,1,2025-11
CR-6228,Endpoint not checking in with management server,Access,John Wick,John Wick,Matrix,Service C,Closed,High,High,High,High,2025-03-10T10:10:27.000000,2025-03-10T18:10:27.000000,2025-03-11T04:10:27.000000,0,3,Monday,1,8.0,10.0,18.0,1,2025-11
CR-6229,Mobile app login failing for all users,Failure,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-03-10T11:24:21.000000,2025-03-10T16:24:21.000000,2025-03-11T13:24:21.000000,0,2,Monday,1,5.0,21.0,26.0,0,2025-11
CR-6230,Corrupted email attachments received internally,Network,Thor,Thor,Avengers,Service B,Closed,High,High,Medium,High,2025-03-10T21:54:35.000000,2025-03-11T05:54:35.000000,2025-03-11T19:54:35.000000,1,2,Monday,0,8.0,14.0,22.0,1,2025-11
CR-6231,User unable to change expired password remotely,Complaint,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-10T19:34:49.000000,2025-03-11T02:34:49.000000,2025-03-11T06:34:49.000000,0,3,Monday,1,7.0,4.0,11.0,0,2025-11
CR-6232,Error 500 returned by internal web application,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-03-10T09:05:10.000000,2025-03-10T11:05:10.000000,2025-03-11T19:05:10.000000,0,2,Monday,1,2.0,32.0,34.0,1,2025-11
CR-6233,Network latency observed between data center and branch office,Complaint,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,High,2025-03-10T04:43:13.000000,2025-03-10T10:43:13.000000,2025-03-10T21:43:13.000000,0,5,Monday,1,6.0,11.0,17.0,1,2025-11
CR-6234,Access badge system not updating from central database,Access,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-03-10T16:13:56.000000,2025-03-10T19:13:56.000000,2025-03-10T22:13:56.000000,0,5,Monday,1,3.0,3.0,6.0,0,2025-11
CR-6235,Unexpected logout from critical application during use,Facilities,Iron Man,Iron Man,Avengers,Service C,New,Medium,Medium,Medium,Medium,2025-03-10T20:06:14.000000,,,0,2,Monday,1,,,,0,2025-11
CR-6236,User unable to access HR portal,Access,Hulk,Hulk,Avengers,Service B,Closed,Low,High,Medium,Medium,2025-03-10T12:52:50.000000,2025-03-10T17:52:50.000000,2025-03-11T13:52:50.000000,1,2,Monday,0,5.0,20.0,25.0,1,2025-11
CR-6237,Firewall blocking legitimate traffic to partner system,Access,Captain America,Captain America,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-03-10T20:30:38.000000,2025-03-11T02:30:38.000000,2025-03-11T16:30:38.000000,0,2,Monday,1,6.0,14.0,20.0,0,2025-11
CR-6238,Access badge system not updating from central database,Software,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Medium,Medium,Low,2025-03-10T05:46:16.000000,2025-03-10T08:46:16.000000,2025-03-11T05:46:16.000000,0,2,Monday,1,3.0,21.0,24.0,0,2025-11
